Season_ID,Team,Year,TR,Age,W,L,SRS,ORtg,rORtg,DRtg,rDRtg,NRtg,Pace,rPace,FTr,rFTr,TS,rTS,PostW,PostL,,,,,,,,,,,,
1,Oklahoma City Thunder??,2025,15.6,24.8,68,14,12.7,120.3,5.8,107.5,-7,12.8,100,1.2,0.22,-0.023,0.593,0.017,16,7,0.7,115.4,2.3,107,-6.1,8.4,12.07,98.9,3.3,0.29,0.566,0
2,Cleveland Cavaliers,2025,11.2,26.6,64,18,8.8,121.7,7.2,112.2,-2.3,9.5,99.8,1,0.241,-0.002,0.607,0.031,5,4,0.56,123.5,10.4,111.4,-1.7,12.1,13.08,96.7,1.1,0.318,0.597,0.031
3,Boston Celtics,2025,10.2,28.9,61,21,8.3,120.6,6.1,111.1,-3.4,9.5,95.7,-3.1,0.212,-0.031,0.591,0.015,6,5,0.55,114.4,1.3,108.4,-4.7,6,7.64,91.5,-4.1,0.273,0.569,0.003
4,Minnesota Timberwolves,2025,9.3,27.2,49,33,5.2,116.6,2.1,111.5,-3,5.1,97.3,-1.5,0.249,0.006,0.588,0.012,9,6,0.6,114.6,1.5,111.8,-1.3,2.8,8.7,95.1,-0.5,0.256,0.574,0.008
5,Indiana Pacers,2025,8.5,25.8,50,32,1.7,116.5,2,114.3,-0.2,2.2,99.9,1.1,0.241,-0.002,0.594,0.018,15,8,0.65,115.3,2.2,113.3,0.2,2,9.18,98,2.4,0.292,0.599,0.033
6,New York Knicks,2025,5.7,27.5,51,31,3.6,118.5,4,114.3,-0.2,4.2,96.7,-2.1,0.232,-0.011,0.589,0.013,10,8,0.56,113.3,0.2,113.3,0.2,0,3.9,95.6,0,0.3,0.559,-0.007
7,Denver Nuggets,2025,5.4,27,50,32,4,119.9,5.4,116,1.5,3.9,99.8,1,0.259,0.016,0.604,0.028,7,7,0.5,110.1,-3,115.1,2,-5,3.77,95.7,0.1,0.273,0.552,-0.014
8,Los Angeles Clippers,2025,5.2,29.7,50,32,4.8,115.1,0.6,110.3,-4.2,4.8,97.5,-1.3,0.251,0.008,0.589,0.013,3,4,0.43,115.6,2.5,115,1.9,0.6,4.57,92.3,-3.3,0.231,0.581,0.015
9,Houston Rockets,2025,5.1,24.9,52,30,5,115.3,0.8,110.8,-3.7,4.5,98.6,-0.2,0.242,-0.001,0.553,-0.023,3,4,0.43,112.1,-1,112.1,-1,0,3.56,92.8,-2.8,0.347,0.548,-0.018
10,Golden State Warriors,2025,4.3,28.6,48,34,3.6,115,0.5,111.7,-2.8,3.3,98.7,-0.1,0.244,0.001,0.568,-0.008,5,7,0.42,109.7,-3.4,112.9,-0.2,-3.2,1.85,93.9,-1.7,0.24,0.545,-0.021
