Season_ID,Team,Year,TR,Age,W,L,SRS,ORtg,rORtg,DRtg,rDRtg,NRtg,Pace,rPace,FTr,rFTr,TS,rTS,PostW,PostL,Playoffs,Championship
1.0,Oklahoma City Thunder,2025.0,15.6,24.8,68.0,14.0,12.7,120.3,5.8,107.5,-7.0,12.8,100.0,1.2,0.22,-0.023,0.593,0.017,16.0,7.0,1,1
2.0,Cleveland Cavaliers,2025.0,11.2,26.6,64.0,18.0,8.8,121.7,7.2,112.2,-2.3,9.5,99.8,1.0,0.241,-0.002,0.607,0.031,5.0,4.0,1,0
3.0,Boston Celtics,2025.0,10.2,28.9,61.0,21.0,8.3,120.6,6.1,111.1,-3.4,9.5,95.7,-3.1,0.212,-0.031,0.591,0.015,6.0,5.0,1,0
4.0,Minnesota Timberwolves,2025.0,9.3,27.2,49.0,33.0,5.2,116.6,2.1,111.5,-3.0,5.1,97.3,-1.5,0.249,0.006,0.588,0.012,9.0,6.0,1,0
5.0,Indiana Pacers,2025.0,8.5,25.8,50.0,32.0,1.7,116.5,2.0,114.3,-0.2,2.2,99.9,1.1,0.241,-0.002,0.594,0.018,15.0,8.0,1,0
6.0,New York Knicks,2025.0,5.7,27.5,51.0,31.0,3.6,118.5,4.0,114.3,-0.2,4.2,96.7,-2.1,0.232,-0.011,0.589,0.013,10.0,8.0,1,0
7.0,Denver Nuggets,2025.0,5.4,27.0,50.0,32.0,4.0,119.9,5.4,116.0,1.5,3.9,99.8,1.0,0.259,0.016,0.604,0.028,7.0,7.0,1,0
8.0,Los Angeles Clippers,2025.0,5.2,29.7,50.0,32.0,4.8,115.1,0.6,110.3,-4.2,4.8,97.5,-1.3,0.251,0.008,0.589,0.013,3.0,4.0,1,0
9.0,Houston Rockets,2025.0,5.1,24.9,52.0,30.0,5.0,115.3,0.8,110.8,-3.7,4.5,98.6,-0.2,0.242,-0.001,0.553,-0.023,3.0,4.0,1,0
10.0,Golden State Warriors,2025.0,4.3,28.6,48.0,34.0,3.6,115.0,0.5,111.7,-2.8,3.3,98.7,-0.1,0.244,0.001,0.568,-0.008,5.0,7.0,1,0
11.0,Memphis Grizzlies,2025.0,1.8,24.7,48.0,34.0,4.8,117.7,3.2,113.0,-1.5,4.7,103.3,4.5,0.249,0.006,0.588,0.012,0.0,4.0,1,0
12.0,Detroit Pistons,2025.0,1.8,25.8,44.0,38.0,1.7,115.0,0.5,113.1,-1.4,1.9,99.8,1.0,0.248,0.005,0.58,0.004,2.0,4.0,1,0
13.0,Sacramento Kings,2025.0,0.6,27.8,40.0,42.0,0.6,116.7,2.2,116.2,1.7,0.5,98.2,-0.6,0.235,-0.008,0.582,0.006,0.0,0.0,0,0
14.0,Los Angeles Lakers,2025.0,0.3,27.9,50.0,32.0,1.5,115.9,1.4,114.7,0.2,1.2,97.6,-1.2,0.271,0.028,0.593,0.017,1.0,4.0,1,0
15.0,Milwaukee Bucks,2025.0,-0.1,29.3,48.0,34.0,2.1,115.9,1.4,113.4,-1.1,2.5,99.3,0.5,0.268,0.025,0.598,0.022,1.0,4.0,1,0
16.0,Dallas Mavericks,2025.0,-0.8,27.5,39.0,43.0,-0.7,114.8,0.3,116.0,1.5,-1.2,99.2,0.4,0.263,0.02,0.583,0.007,0.0,0.0,0,0
17.0,Atlanta Hawks,2025.0,-1.4,24.9,40.0,42.0,-1.4,114.6,0.1,115.7,1.2,-1.1,102.6,3.8,0.252,0.009,0.579,0.003,0.0,0.0,0,0
18.0,Chicago Bulls,2025.0,-1.9,25.2,39.0,43.0,-1.8,114.1,-0.4,115.6,1.1,-1.5,102.8,4.0,0.214,-0.029,0.585,0.009,0.0,0.0,0,0
19.0,Orlando Magic,2025.0,-2.5,24.9,41.0,41.0,-0.7,109.4,-5.1,109.6,-4.9,-0.2,96.1,-2.7,0.269,0.026,0.55,-0.026,1.0,4.0,1,0
20.0,San Antonio Spurs,2025.0,-2.7,26.0,34.0,48.0,-2.5,114.4,-0.1,117.2,2.7,-2.8,99.3,0.5,0.234,-0.009,0.575,-0.001,0.0,0.0,0,0
21.0,Phoenix Suns,2025.0,-2.7,29.1,36.0,46.0,-2.6,116.2,1.7,119.3,4.8,-3.1,97.1,-1.7,0.241,-0.002,0.595,0.019,0.0,0.0,0,0
22.0,Portland Trail Blazers,2025.0,-2.9,23.8,36.0,46.0,-2.7,111.7,-2.8,114.7,0.2,-3.0,98.8,0.0,0.246,0.003,0.555,-0.021,0.0,0.0,0,0
